a52dec 0.8.0-2
http-parser 2.9.4-1
hunspell 1.7.2-1
hwdata 0.374-1
hwinfo 23.2-1
hwloc 2.9.1-1
hxd 1.0.0-1
hydra 9.5-1
hyperfine 1.17.0-1
hyperv 6.3-5
hyphen 2.8.8-5
hyphen-en 2.8.8-5
i2c-tools 4.3-4
i3-battery-popup-git r51.d894a10-1
i3-wm 4.22-4
i3blocks 1.5-3
i3lock-color 2.13.c.4-1
i3status 2.14-1
iana-etc 20230907-1
icoextract 0.1.4-1
icu 73.2-2
ijs 0.35-5
imagemagick 7.1.1.15-4
imath 3.1.9-2
imlib 1.9.15-18
imlib2 1.12.0-1
inetutils 2.4-1
iniparser 4.1-4
inotify-tools 4.23.8.0-1
intel-oneapi-common 2023.2.0-1
intel-oneapi-compiler-dpcpp-cpp-runtime-libs 2023.2.0-1
intel-oneapi-compiler-shared-runtime-libs 2023.2.0-1
intel-oneapi-tbb 2021.10.0-1
intel-ucode 20230808-1
intltool 0.51.0-6
inxi 3.3.29.1-1
iproute2 6.5.0-1
iptables 1:1.8.9-1
iputils 20221126-2
ipw2100-fw 1.3-10
ipw2200-fw 3.1-8
ipython 8.15.0-2
irssi 1.4.4-3
iso-codes 4.15.0-1
isomd5sum 1.2.3-8
itstool 1:2.0.7-1
iw 5.19-2
jansson 2.14-2
jasper 4.0.0-1
java-environment-common 3-5
java-openjfx 20.0.1.u1-1
java-runtime-common 3-5
java11-openjfx 11.0.18.u1-1
java17-openjfx 17.0.7.u2-1
java17-openjfx-src 17.0.7.u2-1
jbig2dec 0.19-1
jbigkit 2.1-7
jdk11-openjdk 11.0.20.1.u1-1
jdk17-openjdk 17.0.8.1.u1-1
jemalloc 1:5.3.0-2
jfsutils 1.1.15-8
joyutils 1.8.1-1
jp2a 1.1.1-2
jq 1.7-1
jre-openjdk 20.0.2.u9-3
jre-openjdk-headless 20.0.2.u9-3
jre11-openjdk 11.0.20.1.u1-1
jre11-openjdk-headless 11.0.20.1.u1-1
jre17-openjdk 17.0.8.1.u1-1
jre17-openjdk-headless 17.0.8.1.u1-1
jre8-openjdk 8.382.u05-1
jre8-openjdk-headless 8.382.u05-1
js102 102.15.0-1
js78 78.15.0-4
json-c 0.17-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
karchive 5.110.0-1
kauth 5.110.0-1
kbd 2.6.2-1
kbookmarks 5.110.0-1
kcodecs 5.110.0-1
kcompletion 5.110.0-1
kconfig 5.110.0-1
kconfigwidgets 5.110.0-1
kcoreaddons 5.110.0-1
kcrash 5.110.0-1
kdbusaddons 5.110.0-1
kdeclarative 5.110.0-1
kded 5.110.0-1
kdnssd 5.110.0-1
keyutils 1.6.3-2
kglobalaccel 5.110.0-1
kguiaddons 5.110.0-1
kholidays 1:5.110.0-1
ki18n 5.110.0-1
kiconthemes 5.110.0-1
kio 5.110.0-1
kirigami-addons 0.11.0-1
kirigami2 5.110.0-1
kitemmodels 5.110.0-1
kitemviews 5.110.0-1
kitty 0.29.2-2
kitty-shell-integration 0.29.2-2
kitty-terminfo 0.29.2-2
kjobwidgets 5.110.0-1
kmod 30-3
knotifications 5.110.0-1
kpackage 5.110.0-1
kparts 5.110.0-1
kpty 5.110.0-1
krb5 1.20.1-1
kservice 5.110.0-1
ktextwidgets 5.110.0-1
kwallet 5.110.0-1
kwayland 5.110.0-1
kwidgetsaddons 5.110.0-1
kwindowsystem 5.110.0-1
kxmlgui 5.110.0-1
l-smash 2.14.5-3
lame 3.100-4
lapack 3.11.0-2
laptop-detect 0.16-1
lastpass 4.88.0.1-1
layer-shell-qt 5.27.7-1
lbzip2 2.5-5
lcms2 2.15-1
ldb 2:2.8.0-1
ldc 3:1.34.0-1
ldns 1.8.3-2
lenopow 1.0.4-1
lensfun 1:0.3.4-3
less 1:643-1
level-zero-loader 1.11.0-1
lib32-acl 2.3.1-2
lib32-alsa-lib 1.2.10-1
lib32-alsa-plugins 1.2.7.1-2
lib32-at-spi2-core 2.48.4-1
lib32-attr 2.5.1-1
lib32-brotli 1.0.9-12
lib32-bzip2 1.0.8-3
lib32-cairo 1.17.8-2
lib32-cdparanoia 10.2-4
lib32-colord 1.4.6-1
lib32-curl 8.2.1-1
lib32-dbus 1.14.10-1
lib32-dbus-glib 0.112-2
lib32-duktape 2.7.0-6
lib32-e2fsprogs 1.47.0-1
lib32-expat 2.5.0-2
lib32-faudio 23.07-1
lib32-flac 1.4.3-1
lib32-fontconfig 2:2.14.2-1
lib32-freeglut 3.4.0-1
lib32-freetype2 2.13.2-1
lib32-fribidi 1.0.13-2
lib32-gcc-libs 13.2.1-3
lib32-gdk-pixbuf2 2.42.10-2
lib32-gettext 0.21.1-1
lib32-giflib 5.2.1-1
lib32-glew1.10 1.10.0-5
lib32-glib-networking 2.76.1-1
lib32-glib2 2.78.0-1
lib32-glibc 2.38-3
lib32-glu 9.0.3-1
lib32-gmp 6.2.1-1
lib32-gnutls 3.8.1-1
lib32-gst-plugins-base 1.22.5-1
lib32-gst-plugins-base-libs 1.22.5-1
lib32-gstreamer 1.22.5-1
lib32-gtk2 2.24.33-2
lib32-gtk3 1:3.24.38-1
lib32-harfbuzz 8.2.0-1
lib32-icu 73.2-1
lib32-imlib2 1.12.0-1
lib32-json-glib 1.6.6-2
lib32-keyutils 1.6.3-1
lib32-krb5 1.20.1-1
lib32-lcms2 2.15-1
lib32-libappindicator-gtk2 12.10.0-13
lib32-libasyncns 1:0.8+r3+g68cd5af-2
lib32-libcaca 0.99.beta20-1
lib32-libcanberra 1:0.30+r2+gc0620e4-2
lib32-libcap 2.69-1
lib32-libcups 2.4.6-1
lib32-libcurl-compat 8.2.1-1
lib32-libcurl-gnutls 8.2.1-1
lib32-libdatrie 0.2.13-2
lib32-libdbusmenu-glib 16.04.0-5
lib32-libdbusmenu-gtk2 16.04.0-5
lib32-libdrm 2.4.116-1
lib32-libelf 0.189-1
lib32-libepoxy 1.5.10-1
lib32-libffi 3.4.4-1
lib32-libgcrypt 1.10.2-1
lib32-libgcrypt15 1.5.6-7
lib32-libglvnd 1.6.0-1
lib32-libgpg-error 1.47-1
lib32-libice 1.1.1-1
lib32-libidn11 1.33-2
lib32-libidn2 2.3.4-2
lib32-libindicator-gtk2 12.10.1-9
lib32-libjpeg-turbo 3.0.0-1
lib32-libjpeg6-turbo 1.5.3-2
lib32-libldap 2.6.6-1
