a52dec 0.8.0-2
sdl2_ttf 2.20.2-1
sdl_image 1.2.12-8
sdl_mixer 1.2.12-12
sdl_ttf 2.0.11-6
sdparm 1.12-1
sed 4.9-3
semver 7.5.0-1
serd 0.30.16-1
serf 1.3.9-8
sg3_utils 1.47-1
shaderc 2023.4-1
shadow 4.13-3
shairplay 20180824.096b61a-4
shared-mime-info 2.2+13+ga2ffb28-1
sl 5.05-4
slang 2.3.3-2
slimbookbattery 4.0.5beta-2
slop 7.6-3
smartmontools 7.4-1
smbclient 4.19.0-1
smpeg 2.0.0-2
snapd 2.55.3-1
snapd-glib 1.59-1
snappy 1.1.9-2
sndio 1.9.0-1
sof-firmware 2.2.6-1
solaar 1.1.9-2
solid 5.110.0-1
sonnet 5.110.0-1
sord 0.16.14-1
sound-theme-freedesktop 0.8-5
soundtouch 2.3.2-1
source-highlight 3.1.9-11
spandsp 0.0.6-5
sparklines-git v1.0.1.33.gab88ac6-1
spdlog 1.12.0-1
speedtest-cli-git 2.1.3.r1.g22210ca-1
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-llvm-translator 16.0.0.r9+g322fca5d-1
spirv-tools 2022.4-1
splix 2.0.0-20
spotify 1:1.1.80.699-1
spotify-tui 0.25.0-3
sqlite 3.43.0-1
squashfs-tools 4.6.1-1
sratom 0.6.14-1
srt 1.5.3-1
sshfs 3.7.3-1
startup-notification 0.12-8
steam 1.0.0.78-1
steam-native-runtime 1.0.0.75-3
stoken 0.92-4
stylua 0.18.2-1
subversion 1.14.2-9
sudo 1.9.14.p3-1
suil 0.10.18-1
suitesparse 7.1.0-2
supertux 0.6.3-7
supertuxkart 1.4-5
surfn-icons-git 22.04-02
svt-av1 1.7.0-1
svt-hevc 1.5.1-2
swh-plugins 0.4.17-5
swi-prolog 9.0.4-2
swig 4.1.1-2
syndication 5.110.0-1
syntax-highlighting 5.110.0-1
sysfsutils 2.1.1-1
syslinux 6.04.pre2.r11.gbf6db5b4-3
system-config-printer 1.5.18-2
systemd 254.3-1
systemd-libs 254.3-1
systemd-sysvcompat 254.3-1
t1lib 5.1.2-8
taglib 1.13.1-1
talloc 2.4.1-1
tar 1.35-1
tcl 8.6.13-1
tcpdump 4.99.4-1
tcpreplay 4.4.3-1
tdb 1.4.9-1
terminus-font 4.49.1-6
termtyper-git 2.0.0.r49.g6be4ace-1
testdisk 7.1-5
tevent 1:0.15.0-1
texinfo 7.0.3-1
the_platinum_searcher-bin 2.2.0-1
the_silver_searcher 2.2.0-2
thefuck 3.32-5
thin-provisioning-tools 1.0.6-1
threadweaver 5.110.0-1
thunar 4.18.7-1
thunar-archive-plugin 0.5.1-1
thunar-media-tags-plugin 0.4.0-1
thunar-shares-plugin 0.3.1.git-1
thunar-volman 4.18.0-1
time 1.9-4
tinycompress 1.2.8-2
tinyxml 2.6.2-10
tiramisu-git r162.c839902-1
tk 8.6.13-2
tlp 1.6.0-1
tlp-rdw 1.6.0-1
tmon 6.3-5
tmux 3.3_a-7
tolua++ 1.0.93-4
tor 0.4.8.5-1
tor-browser 12.0.5-1
totem-pl-parser 3.26.6-2
tpm2-tss 4.0.1-1
traceroute 2.1.3-1
tracker3 3.5.3-2
tree 2.1.1-1
tree-sitter 0.20.10-1
trizen 1:1.66-1
tslib 1.22-1
ttf-agave-nerd 3.0.2-1
ttf-bitstream-vera 1.10-15
ttf-carlito 20230509-1
ttf-dejavu 2.37+18+g9b5d1b2f-4
ttf-droid 20121017-10
ttf-firacode-nerd 3.0.2-1
ttf-font-awesome 6.4.2-1
ttf-hack 3.003-6
ttf-hack-nerd 3.0.2-1
ttf-inconsolata 1:3.000-3
ttf-ionicons 7.1.2-1
ttf-liberation 2.1.5-1
ttf-meslo-nerd-font-powerlevel10k 1.000-3
ttf-ms-fonts 2.0-12
ttf-opensans 1.101-2
ttf-roboto 2.138-4
ttf-roboto-mono 3.000-2
ttf-ubuntu-font-family 1:0.83-1
ttyper-git 1.2.0.r0.g9c3b43f-1
tumbler 4.18.1-1
turbostat 6.3-5
twolame 0.4.0-3
typeracer 2.1.3-1
tzdata 2023c-2
uchardet 0.0.8-2
udftools 2.3-1
udiskie 2.4.2-2
udisks2 2.9.4-4
ufetch-arco-git 1:r167.21f22c2-1
ufw 0.36.2-2
unace 2.5-11
unibilium 2.1.1-1
unixodbc 2.3.12-1
unrar 1:6.2.10-1
unzip 6.0-19
upd72020x-fw 20200826-3
upower 1.90.2-1
uriparser 0.9.7-1
usbmuxd 1.1.1-3
usbutils 015-3
util-linux 2.39.2-1
util-linux-libs 2.39.2-1
v4l-utils 1.24.1-2
v4l2loopback-dkms 0.12.7-2
v4l2loopback-utils 0.12.7-2
vagrant 2.3.7-1
vala 0.56.13-1
valgrind 3.21.0-4
vamp-plugin-sdk 2.10.0-2
vboxtool 0.5-1
ventoy-bin 1.0.95-1
vid.stab 1.1.1-1
vim 9.0.1882-1
vim-runtime 9.0.1882-1
virtualbox 7.0.10-2
virtualbox-ext-oracle 7.0.2-1
virtualbox-ext-vnc 7.0.10-2
virtualbox-host-dkms 7.0.10-2
visual-studio-code-bin 1.72.2-1
vivaldi-ffmpeg-codecs 116.0.5845.163-1
vkbasalt-cli 3.1.1-1
vkd3d 1.7.1-1
vlc 3.0.18-15
vmaf 2.3.1-1
volume_key 0.3.12-8
volumeicon 0.5.1-5
vpnc 1:0.5.3.r526.r213-1
vsqlite++ 0.3.13-7
vte-common 0.72.2-2
vte3 0.72.2-2
vtk 9.2.6-8
vulkan-headers 1:1.3.264-2
vulkan-icd-loader 1.3.263-1
vulkan-intel 1:23.1.7-1
vulkan-mesa-layers 1:23.1.7-1
vulkan-validation-layers 1.3.261.1-1
w3m 0.5.3.git20230121_1-1
wavpack 5.6.0-1
wayland 1.22.0-1
wayland-protocols 1.32-1
waylandpp 1.0.0-2
wd719x-firmware 1-7
webkit2gtk 2.40.5-2
webkit2gtk-4.1 2.40.5-2
webrtc-audio-processing 0.3.1-4
wget 1.21.4-1
which 2.21-6
wildmidi 0.4.5-2
windscribe-v2-bin 2.4.8_beta-1
wine 8.15-1
wireless-regdb 2023.09.01-1
wireless_tools 30.pre9-3
wireshark-cli 4.0.8-1
wireshark-qt 4.0.8-1
wmctrl 1.07-6
woff2 1.0.2-4
wpa_supplicant 2:2.10-8
wpebackend-fdo 1.14.2-1
wttr 1.2.1-2
wvdial 1.61-8
wvstreams 4.6.1-20
wxwidgets-common 3.2.2.1-2
wxwidgets-gtk3 3.2.2.1-2
x264 3:0.164.r3095.baee400-4
x265 3.5-3
x86_energy_perf_policy 6.3-5
xapp 2.6.1-1
xautomation 1.09-5
xcape 1.2-4
xcb-proto 1.16.0-1
xcb-util 0.4.1-1
xcb-util-cursor 0.1.4-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcb-util-xrm 1.3-2
xdg-dbus-proxy 0.1.5-1
xdg-desktop-portal 1.16.0-3
xdg-desktop-portal-gtk 1.14.1-1
xdg-user-dirs 0.18-1
xdg-utils 1.1.3+45+g301a1a4-1
xdo 0.5.7-2
xdotool 3.20211022.1-1
xf86-input-elographics 1.4.3-1
xf86-input-evdev 2.10.6-3
xf86-input-libinput 1.4.0-1
xf86-input-vmmouse 13.2.0-1
xf86-input-void 1.4.2-1
xf86-video-amdgpu 23.0.0-1
xf86-video-ati 1:22.0.0-1
xf86-video-fbdev 0.5.0-3
xf86-video-intel 1:2.99.917+923+gb74b67f0-1
xf86-video-nouveau 1.0.17-2
xf86-video-openchrome 0.6.0.r798.g0c75274-2
xf86-video-vesa 2.6.0-1
xf86-video-vmware 13.4.0-1
xfce4-notifyd 0.8.2-1
xfce4-power-manager 4.18.2-1
xfconf 4.18.1-2
xfsprogs 6.4.0-1
xinetd 2.3.15.4-1
xkeyboard-config 2.39-1
xl2tpd 1.3.18-1
xmlsec 1.2.37-1
xorg-bdftopcf 1.1.1-1
xorg-font-util 1.4.1-1
xorg-fonts-alias-misc 1.0.5-1
xorg-fonts-encodings 1.0.7-1
xorg-fonts-misc 1.0.4-1
xorg-iceauth 1.0.9-1
xorg-mkfontscale 1.2.2-1
xorg-server 21.1.8-2
xorg-server-common 21.1.8-2
xorg-server-xvfb 21.1.8-2
xorg-sessreg 1.1.3-1
xorg-setxkbmap 1.3.4-1
xorg-smproxy 1.0.7-1
xorg-x11perf 1.6.2-1
xorg-xauth 1.1.2-1
xorg-xcmsdb 1.0.6-1
xorg-xcursorgen 1.0.8-1
xorg-xdpyinfo 1.3.4-1
xorg-xdriinfo 1.0.7-1
xorg-xev 1.2.5-1
xorg-xeyes 1.3.0-1
xorg-xgamma 1.0.7-1
xorg-xhost 1.0.9-1
xorg-xinit 1.4.2-1
xorg-xinput 1.6.4-1
xorg-xkbcomp 1.4.6-1
xorg-xkbevd 1.1.5-1
xorg-xkbutils 1.0.5-1
xorg-xkill 1.0.6-1
xorg-xlsatoms 1.1.4-1
xorg-xlsclients 1.1.5-1
xorg-xmessage 1.0.6-1
xorg-xmodmap 1.0.11-1
xorg-xpr 1.1.0-1
xorg-xprop 1.2.6-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.2-1
xorg-xrefresh 1.0.7-1
xorg-xset 1.2.5-1
xorg-xsetroot 1.1.3-1
xorg-xvinfo 1.1.5-1
xorg-xwd 1.0.9-1
xorg-xwininfo 1.1.6-1
xorg-xwud 1.0.6-1
xorgproto 2023.2-1
xpad-noone-dkms 1.0-0
xplc 0.3.13-10
xsel 1.2.1-1
xtitle-git 47-1
xvidcore 1.3.7-2
xxhash 0.8.2-1
xz 5.4.4-1
yajl 2.1.0-5
yaml-cpp 0.7.0-2
yara 4.3.1-1
yarn 1.22.19-1
yay-bin 11.1.2-1
yetris 2.3.0-3
youtube-dl 2021.12.17-2
yt-dlp 2023.07.06-2
zbar 0.23.90-3
zenity 3.44.2-1
zeromq 4.3.4-4
zimg 3.0.5-1
zip 3.0-10
zita-alsa-pcmi 0.6.1-1
zita-convolver 4.0.3-3
zita-resampler 1.11.2-1
zlib 1:1.3-1
zscroll-git 2.0.1.r0.g788be96-1
zsh 5.9-4
zsh-completions 0.35.0-1
zsh-syntax-highlighting 0.7.1-1
zstd 1.5.5-1
zvbi 0.2.42-1
zxing-cpp 2.1.0-1
